LastName,FirstName,DatasetID,Dataset,SpeciesName,AccSpeciesID,AccSpeciesName,ObservationID,ObsDataID,TraitID,TraitName,DataID,DataName,OriglName,OrigValueStr,OrigUnitStr,ValueKindName,OrigUncertaintyStr,UncertaintyName,Replicates,StdValue,UnitName,RelUncertaintyPercent,OrigObsDataID,ErrorRisk,Reference,Comment
Shipley,Bill,50,Leaf and Whole Plant Traits Database,Achillea millefolium,909,Achillea millefolium,93134,1005902,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",6582,SLA: petiole  excluded,SLA,183.66,cm2/g,Single,,,,18.366,mm2 mg-1,,,1.71151,"Shipley, B. and T. T. Vu. 2002. Dry matter content as a measure of dry matter concentration in plants and their parts. New Phytologist 153:359-364.",SLA (cm2/g): average specific leaf area
Shipley,Bill,50,Leaf and Whole Plant Traits Database,Agropyron trachycaulum,20408,Elymus trachycaulus,93476,1012468,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",6582,SLA: petiole  excluded,SLA,292.18,cm2/g,Single,,,,29.218,mm2 mg-1,,,2.7582,"Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 ",SLA (cm g) = specific leaf area (ou 1/specific leaf mass (SLM))
Shipley,Bill,50,Leaf and Whole Plant Traits Database,Elymus trachycaulus,20408,Elymus trachycaulus,93600,1014400,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",6582,SLA: petiole  excluded,SLA,435,cm2/g,Single,,,,43.5,mm2 mg-1,,,4.40315,"Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 ",SLA (cm g) = specific leaf area (ou 1/specific leaf mass (SLM))
Shipley,Bill,50,Leaf and Whole Plant Traits Database,Elymus trachycaulus,20408,Elymus trachycaulus,93617,1014672,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",6582,SLA: petiole  excluded,SLA,400,cm2/g,Single,,,,40,mm2 mg-1,,,4.05644,"Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 ",SLA (cm g) = specific leaf area (ou 1/specific leaf mass (SLM))
Shipley,Bill,50,Leaf and Whole Plant Traits Database,Helianthus annuus,28128,Helianthus annuus,93771,1016839,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",6582,SLA: petiole  excluded,SLA,244.6,cm2/g,Single,,,,24.46,mm2 mg-1,,,3.41606,"Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 ",SLA (cm g) = specific leaf area (ou 1/specific leaf mass (SLM))
Shipley,Bill,50,Leaf and Whole Plant Traits Database,Achillea millefolium,909,Achillea millefolium,94074,1021321,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",6582,SLA: petiole  excluded,SLA,262.9,cm2/g,Single,,,,26.29,mm2 mg-1,,,2.99099,"Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 ",SLA (cm g) = specific leaf area (ou 1/specific leaf mass (SLM))
Shipley,Bill,50,Leaf and Whole Plant Traits Database,Achillea millefolium,909,Achillea millefolium,94182,1022711,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",6582,SLA: petiole  excluded,SLA,179,cm2/g,Single,,,,17.9,mm2 mg-1,,,1.62664,"Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 ",SLA (cm g) = specific leaf area (ou 1/specific leaf mass (SLM))
Shipley,Bill,50,Leaf and Whole Plant Traits Database,Achillea millefolium,909,Achillea millefolium,94198,1022983,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",6582,SLA: petiole  excluded,SLA,244,cm2/g,Single,,,,24.4,mm2 mg-1,,,2.68262,"Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 ",SLA (cm g) = specific leaf area (ou 1/specific leaf mass (SLM))
Shipley,Bill,50,Leaf and Whole Plant Traits Database,Achillea millefolium,909,Achillea millefolium,94214,1023255,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",6582,SLA: petiole  excluded,SLA,281,cm2/g,Single,,,,28.1,mm2 mg-1,,,3.26619,"Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 ",SLA (cm g) = specific leaf area (ou 1/specific leaf mass (SLM))
Shipley,Bill,50,Leaf and Whole Plant Traits Database,Achillea millefolium,909,Achillea millefolium,94230,1023524,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",6582,SLA: petiole  excluded,SLA,324,cm2/g,Single,,,,32.4,mm2 mg-1,,,3.85472,"Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 ",SLA (cm g) = specific leaf area (ou 1/specific leaf mass (SLM))
Shipley,Bill,50,Leaf and Whole Plant Traits Database,Stipa comata,51870,Stipa comata,94246,1023744,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",6582,SLA: petiole  excluded,SLA,184,cm2/g,Single,,,,18.4,mm2 mg-1,,,4.12685,"Shipley B., 2002. Trade-offs between net assimilation rate and specific leaf area in determining relative growth rate: relationship with daily irradiance, Functional Ecology(16) 682-689 ",SLA (cm g) = specific leaf area (ou 1/specific leaf mass (SLM))
